date,open,high,low,close,volume,average,barCount
2018-11-29,3.268,3.268,3.268,3.268,0.0,3.268,0
2018-11-30,3.324,3.324,3.324,3.324,0.0,3.324,0
2018-12-03,3.296,3.296,3.296,3.296,0.0,3.296,0
2018-12-04,3.282,3.282,3.282,3.282,0.0,3.282,0
2018-12-05,3.273,3.273,3.273,3.273,0.0,3.273,0
2018-12-06,3.284,3.284,3.284,3.284,0.0,3.284,0
2018-12-07,3.291,3.291,3.291,3.291,0.0,3.291,0
2018-12-10,3.292,3.292,3.292,3.292,0.0,3.292,0
2018-12-11,3.267,3.267,3.267,3.267,0.0,3.267,0
2018-12-12,3.269,3.269,3.269,3.269,0.0,3.269,0
2018-12-13,3.237,3.237,3.237,3.237,0.0,3.237,0
2018-12-14,3.247,3.247,3.247,3.247,0.0,3.247,0
2018-12-17,3.246,3.246,3.246,3.246,0.0,3.246,0
2018-12-18,3.241,3.241,3.241,3.241,0.0,3.241,0
2018-12-19,3.264,3.264,3.264,3.264,0.0,3.264,0
2018-12-20,3.279,3.279,3.279,3.279,0.0,3.279,0
2018-12-21,3.282,3.282,3.282,3.282,0.0,3.282,0
2018-12-24,3.281,3.281,3.281,3.281,0.0,3.281,0
2018-12-26,3.278,3.278,3.278,3.278,0.0,3.278,0
2018-12-27,3.276,3.276,3.276,3.276,0.0,3.276,0
2018-12-28,3.276,3.276,3.276,3.276,0.0,3.276,0
2018-12-31,3.285,3.285,3.285,3.285,0.0,3.285,0
2019-01-02,3.285,3.285,3.285,3.285,0.0,3.285,0
2019-01-03,3.274,3.274,3.274,3.274,0.0,3.274,0
2019-01-04,3.274,3.274,3.274,3.274,0.0,3.274,0
2019-01-07,3.276,3.276,3.276,3.276,0.0,3.276,0
2019-01-08,3.271,3.271,3.271,3.271,0.0,3.271,0
2019-01-09,3.271,3.271,3.271,3.271,0.0,3.271,0
2019-01-10,3.27,3.27,3.27,3.27,0.0,3.27,0
2019-01-11,3.277,3.277,3.277,3.277,0.0,3.277,0
2019-01-14,3.276,3.276,3.276,3.276,0.0,3.276,0
2019-01-15,3.268,3.268,3.268,3.268,0.0,3.268,0
2019-01-16,3.237,3.237,3.237,3.237,0.0,3.237,0
2019-01-17,3.237,3.237,3.237,3.237,0.0,3.237,0
2019-01-18,3.25,3.25,3.25,3.25,0.0,3.25,0
2019-01-22,3.263,3.263,3.263,3.263,0.0,3.263,0
2019-01-23,3.264,3.264,3.264,3.264,0.0,3.264,0
2019-01-24,3.239,3.239,3.239,3.239,0.0,3.239,0
2019-01-25,3.284,3.284,3.284,3.284,0.0,3.284,0
2019-01-28,3.268,3.268,3.268,3.268,0.0,3.268,0
2019-01-29,3.271,3.271,3.271,3.271,0.0,3.271,0
2019-01-30,3.273,3.273,3.273,3.273,0.0,3.273,0
2019-01-31,3.274,3.274,3.274,3.274,0.0,3.274,0
2019-02-01,3.275,3.275,3.275,3.275,0.0,3.275,0
2019-02-04,3.262,3.262,3.262,3.262,0.0,3.262,0
2019-02-05,3.327,3.327,3.327,3.327,0.0,3.327,0
2019-02-06,3.324,3.324,3.324,3.324,0.0,3.324,0
2019-02-07,3.32,3.32,3.32,3.32,0.0,3.32,0
2019-02-08,3.322,3.322,3.322,3.322,0.0,3.322,0
2019-02-11,3.327,3.327,3.327,3.327,0.0,3.327,0
2019-02-12,3.335,3.335,3.335,3.335,0.0,3.335,0
2019-02-13,3.333,3.333,3.333,3.333,0.0,3.333,0
2019-02-14,3.34,3.34,3.34,3.34,0.0,3.34,0
2019-02-15,3.32,3.32,3.32,3.32,0.0,3.32,0
2019-02-19,3.311,3.311,3.311,3.311,0.0,3.311,0
2019-02-20,3.323,3.323,3.323,3.323,0.0,3.323,0
2019-02-21,3.31,3.31,3.31,3.31,0.0,3.31,0
2019-02-22,3.307,3.307,3.307,3.307,0.0,3.307,0
2019-02-25,3.299,3.299,3.299,3.299,0.0,3.299,0
2019-02-26,3.281,3.281,3.281,3.281,0.0,3.281,0
2019-02-27,3.317,3.317,3.317,3.317,0.0,3.317,0
2019-02-28,3.328,3.328,3.328,3.328,0.0,3.328,0
2019-03-01,3.327,3.327,3.327,3.327,0.0,3.327,0
2019-03-04,3.323,3.323,3.323,3.323,0.0,3.323,0
2019-03-05,3.321,3.321,3.321,3.321,0.0,3.321,0
2019-03-06,3.324,3.324,3.324,3.324,0.0,3.324,0
2019-03-07,3.329,3.329,3.329,3.329,0.0,3.329,0
2019-03-08,3.329,3.329,3.329,3.329,0.0,3.329,0
2019-03-11,3.356,3.356,3.356,3.356,0.0,3.356,0
2019-03-12,3.371,3.371,3.371,3.371,0.0,3.371,0
2019-03-13,3.38,3.38,3.38,3.38,0.0,3.38,0
2019-03-14,3.388,3.388,3.388,3.388,0.0,3.388,0
